IdCN;NazwaCN;OpisCN;UwagaCN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
0601 10 10;Cebulki hiacyntów, w stanie uśpienia roślin;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0601 10 20;Cebulki narcyzów, w stanie uśpienia roślin;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0601 10 30;Cebulki tulipanów, w stanie uśpienia roślin;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0601 10 40;Cebulki gliadioli, w stanie uśpienia roślin;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0601 10 90;Cebulki, bulwy, korzenie bulwiaste, pędy podziemne korony i kłącza, w stanie uśpienia roślin (z wył. wykorzystywanych do spożycia przez ludzi, hiacyntów, narcyzów, tulipanów, gladioli oraz roślin i korzeni cykorii);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0601 20 10;Rośliny cykorii i jej korzenie (z wył. korzeni cykorii odmiany Cichorium intybus sativum);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0601 20 30;Cebulki orchidei, hiacyntów, narcyzów i tulipanów, w stanie wegetacji lub kwitnienia;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0601 20 90;Cebulki, bulwy, korzenie bulwiaste, pędy podziemne korony i kłącza, w stanie wegetacji lub kwitnienia (z wył. wykorzystywanych do spożycia przez ludzi, orchidei, hiacyntów, narcyzów, tulipanów oraz roślin i korzeni cykorii);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 10 10;Sadzonki i zrazy winorośli, nieukorzenione;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 10 90;Sadzonki i zrazy (z wył. winorośli), nieukorzenione;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 20 10;Sadzonki winorośli, szczepione lub ukorzenione;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 20 20;Drzewa, krzewy i krzaki gatunków rodzących jadalne owoce lub orzechy, z gołymi korzeniami, nawet szczepione (z wył. sadzonek winorośli);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 20 30;Drzewa i krzewy cytrusowe, nawet szczepione (z wył. z gołymi korzeniami);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 20 80;Drzewa, krzewy i krzaki gatunków rodzących jadalne owoce lub orzechy, , nawet szczepione (z wył. z gołymi korzeniami, cytrusowych i sadzonek winorośli);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 30 00;Rododendrony i azalie, nawet szczepione;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 40 00;Róże, nawet szczepione;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 10;Grzybnia;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 20;Rośliny ananasa;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 30;Rośliny warzyw, truskawek i poziomek;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 45;Ukorzenione sadzonki i młode rośliny drzew, krzewów i krzaków, rosnące na wolnym powietrzu (z wył. drzew owocowych, leśnych i orzechowych);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 46;Drzewa, krzewy i krzaki, rosnące na wolnym powietrzu, włącznie z ich korzeniami, z gołymi korzeniami (z wył. sadzonek, zrazów i młodych roślin oraz drzew owocowych, orzechowych i leśnych);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 47;Drzewa, krzewy i krzaki, iglaków i roślin wiecznie zielonych, rosnące na wolnym powietrzu, włącznie z ich korzeniami  (z wył. z gołymi korzeniami, sadzonek, zrazów i młodych roślin oraz drzew owocowych, orzechowych i leśnych);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 48;Drzewa, krzewy i krzaki rosnące na wolnym powietrzu, włącznie z ich korzeniami  (z wył. z gołymi korzeniami, sadzonek, zrazów i młodych roślin, iglaków i roślin wiecznie zielonych, oraz drzew owocowych, orzechowych i leśnych);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 50;Rośliny, włącznie z ich korzeniami, żywe, rosnące na wolnym powietrzu (z wył. cebulek, bulw, korzeni bulwiastych, pędów podziemnych, koron i kłączy oraz roślin i korzeni cykorii, nieukorzenionych sadzonek, zrazów, rododendronów, azalii, róż, grzybni, roślin ananasa, rośliny warzyw, truskawek i poziomek, drzew, krzewów i krzaków);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 70;Ukorzenione sadzonki i młode rośliny (z wył. kaktusów), rosnące w pomieszczeniach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 91;Rośliny kwiatowe z pąkami lub kwiatami (z wył. kaktusów), rosnące w pomieszczeniach;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0602 90 99;Rośliny, także kaktusy, żywe, rosnące w pomieszczeniach, (z wył. ukorzenionych sadzonek i młodych roślin, roślin kwiatowych z pąkami lub kwiatami);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 11 00;Róże cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 12 00;Goździki cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 13 00;Orchidee cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 14 00;Chryzantemy cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 15 00;Liliowate (Lilium spp.), cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 19 10;Gladiole cięte i pąki kwiatowe, na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 19 20;Jaskry cięte i pąki kwiatowe, na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 19 70;Kwiaty cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, świeże (z wył. róż, goździków, orchidei, chryzantem, gladioli, jaskrów i liliowatych);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 90 00;Kwiaty cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, suszone, barwione, bielone, impregnowane lub w inny sposób przygotowane ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0604 20 20;Choinki bożonarodzeniowe, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
