IdKategoria;IdKlasa;NazwaKategoria;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.1;01.11;PSZENICA;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.11.2;01.11;Kukurydza;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.11.3;01.11;JĘCZMIEŃ, ŻYTO I OWIES;D;Dodany;2025-04-13 00:52:43;Darek Osuch;;;;
01.11.4;01.11;SORGO, PROSO I POZOSTAŁE ZBOŻA;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.11.5;01.11;Słoma i plewy zbóż;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.11.6;01.11;WARZYWA STRĄCZKOWE, ŚWIEŻE LUB SCHŁODZONE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.11.7;01.11;WARZYWA STRĄCZKOWE SUSZONE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.11.8;01.11;NASIONA SOI I ORZESZKI ZIEMNE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.11.9;01.11;POZOSTAŁE NASIONA OLEISTE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.12.1;01.12;RYŻ NIEŁUSKANY;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.1;01.13;WARZYWA LIŚCIOWE I ŁODYGOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.2;01.13;ARBUZY I MELONY;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.3;01.13;POZOSTAŁE WARZYWA OWOCOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.4;01.13;WARZYWA KORZENIOWE, CEBULOWE I BULWIASTE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.5;01.13;ZIEMNIAKI I JADALNE KORZENIE I BULWY O DUŻEJ ZAWARTOŚCI SKROBI I INULINY;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.6;01.13;Nasiona warzyw, z wyłączeniem nasion buraków cukrowych;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.7;01.13;BURAKI CUKROWE I NASIONA BURAKÓW CUKROWYCH;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.8;01.13;GRZYBY I TRUFLE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.13.9;01.13;WARZYWA ŚWIEŻE, GDZIE INDZIEJ NIESKLASYFIKOWANE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.14.1;01.14;TRZCINA CUKROWA;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.15.1;01.15;TYTOŃ NIEPRZETWORZONY;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.16.1;01.16;ROŚLINY WŁÓKNISTE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.19.1;01.19;ROŚLINY PASTEWNE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.19.2;01.19;"KWIATY CIĘTE I PĄKI KWIATOWE; NASIONA KWIATÓW";Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.19.3;01.19;"NASIONA ROŚLIN PASTEWNYCH, WŁĄCZAJĄC NASIONA BURAKÓW PASTEWNYCH; POZOSTAŁE SUROWE PRODUKTY ROŚLINNE";Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.21.1;01.21;WINOGRONA;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.22.1;01.22;OWOCE TROPIKALNE I PODZWROTNIKOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.23.1;01.23;OWOCE CYTRUSOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.24.1;01.24;JABŁKA;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.24.2;01.24;POZOSTAŁE OWOCE ZIARNKOWE I PESTKOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.25.1;01.25;JAGODY I OWOCE Z RODZAJU VACCINIUM;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.25.2;01.25;NASIONA OWOCÓW;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.25.3;01.25;ORZECHY W ŁUPINACH (Z WYŁĄCZENIEM JADALNYCH ORZECHÓW DZIKO ROSNĄCYCH, ORZESZKÓW ZIEMNYCH I ORZECHÓW KOKOSOWYCH);Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.25.9;01.25;POZOSTAŁE OWOCE, GDZIE INDZIEJ NIESKLASYFIKOWANE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.26.1;01.26;OLIWKI;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.26.2;01.26;ORZECHY KOKOSOWE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.26.9;01.26;POZOSTAŁE OWOCE OLEISTE, GDZIE INDZIEJ NIESKLASYFIKOWANE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.27.1;01.27;ROŚLINY WYKORZYSTYWANE DO PRODUKCJI NAPOJÓW;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.28.1;01.28;ROŚLINY PRZYPRAWOWE I AROMATYCZNE NIEPRZETWORZONE;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.28.2;01.28;Szyszki chmielowe;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.28.3;01.28;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.29.1;01.29;Kauczuk naturalny;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.29.2;01.29;Choinki świąteczne cięte;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.29.3;01.29;Materiały roślinne w rodzaju stosowanych głównie do wyplatania, wyściełania, wypychania lub w farbowaniu lub garbowaniu;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.30.1;01.30;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia";Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
