IdKolumna;NazwaKolumna;OpisKolumna;UwagiKolumna;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
IdUprawa;Identyfikator uprawy;;;Z;Zmodyfikowany;2025-03-23 20:38:18;Darek Osuch;2025-03-23 20:39:13;Darek Osuch;;
NazwaUprawa;Nazwa uprawy w jęz. polskim;;;Z;Zmodyfikowany;2025-03-23 20:40:42;Darek Osuch;2025-03-23 20:42:33;Darek Osuch;;
NazwaLacinskaUprawa;Nazwa uprawy w jęz. łacińskim;;;Z;Zmodyfikowany;2025-03-23 20:40:55;Darek Osuch;2025-03-23 20:42:38;Darek Osuch;;
NazwaSynonimyUprawa;Synonimy, nazwy regionalne itp. upraw;;;Z;Zmodyfikowany;2025-03-23 20:41:21;Darek Osuch;2025-03-23 20:42:43;Darek Osuch;;
OpisUprawa;Opis uprawy;;;D;Dodany;2025-03-23 20:41:40;Darek Osuch;;;;
UwagaUprawa;Uwagi techniczne do uprawy;;;Z;Zmodyfikowany;2025-03-23 20:41:49;Darek Osuch;2025-04-09 21:02:31;;;
IdProdukt;Identyfikator produktu;;;Z;Zmodyfikowany;2025-03-23 20:38:30;Darek Osuch;2025-03-23 20:39:21;Darek Osuch;;
NazwaProdukt;Nazwa produktu PKWiU w jęz. polskim;;;Z;Zmodyfikowany;2025-03-23 20:42:25;Darek Osuch;2025-03-23 20:43:39;Darek Osuch;;
OpisProdukt;Opis produktu PKWiU;;;Z;Zmodyfikowany;2025-03-23 20:42:54;Darek Osuch;2025-03-23 20:43:54;Darek Osuch;;
UwagaProdukt;Uwagi techniczne do produktu PKWiU;;;Z;Zmodyfikowany;2025-03-23 20:43:04;Darek Osuch;2025-04-09 21:02:31;;;
IdCN;Identyfikator CN;;;Z;Zmodyfikowany;2025-03-23 20:38:38;Darek Osuch;2025-03-23 20:39:27;Darek Osuch;;
IdCN;;;;;;;;;;;
