IdPodKategoria;IdKategoria;NazwaPodKategoria;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.11;01.11.1;Pszenica durum;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:53:27;Darek Osuch;;
01.11.12;01.11.1;Pozostała pszenica;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-04-13 00:55:32;Darek Osuch;;
01.11.20;01.11.2;Kukurydza;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.31;01.11.3;Jęczmień;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.32;01.11.3;Żyto;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.33;01.11.3;Owies;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.41;01.11.4;Sorgo;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.42;01.11.4;Proso;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.43;01.11.4;Pszenżyto;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.49;01.11.4;Pozostałe zboża;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.50;01.11.5;Słoma i plewy zbóż;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.61;01.11.6;Fasola;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.62;01.11.6;Groch;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.69;01.11.6;Pozostałe warzywa strączkowe, świeże lub schłodzone;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.71;01.11.7;Fasola, suszona;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.72;01.11.7;Bób i bobik, suszone;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.73;01.11.7;Ciecierzyca (cieciorka), suszona;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.74;01.11.7;Soczewica, suszona;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.75;01.11.7;Groch, suszony;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.76;01.11.7;Fasolnik chiński, suszony;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:37;Darek Osuch;;
01.11.77;01.11.7;Nikla indyjska, suszona;Z;Zmodyfikowany;2025-03-25 19:13:37;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.79;01.11.7;Warzywa strączkowe suszone, gdzie indziej niesklasyfikowane;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.81;01.11.8;Nasiona soi;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.82;01.11.8;Orzeszki ziemne w łupinach;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.91;01.11.9;Nasiona lnu;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.92;01.11.9;Nasiona gorczycy;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.93;01.11.9;Nasiona rzepaku i rzepiku;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.94;01.11.9;Nasiona sezamu;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.95;01.11.9;Nasiona słonecznika;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.96;01.11.9;Nasiona rącznika;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.11.99;01.11.9;Pozostałe nasiona oleiste, gdzie indziej niesklasyfikowane;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.12.10;01.12.1;RYŻ NIEŁUSKANY;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.11;01.13.1;Szparagi;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.12;01.13.1;Kapusta;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.13;01.13.1;Kalafiory i brokuły;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.14;01.13.1;Sałata;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.15;01.13.1;Cykoria;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.16;01.13.1;Szpinak;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.17;01.13.1;Karczochy;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.19;01.13.1;Pozostałe warzywa liściowe i łodygowe;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.21;01.13.2;Arbuzy;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.29;01.13.2;Melony;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.31;01.13.3;Papryka i inne warzywa owocowe (wyłącznie z rodzaju Capsicum);Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.32;01.13.3;Ogórki i korniszony;Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
01.13.33;01.13.3;Bakłażany (oberżyny);Z;Zmodyfikowany;2025-03-25 19:13:38;Darek Osuch;2025-03-25 19:13:38;Darek Osuch;;
