IdProdukt;NazwaProdukt;OpisProdukt;UwagaProdukt;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01;PRODUKTY ROLNICTWA I ŁOWIECTWA ORAZ USŁUGI WSPOMAGAJĄCE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.1;ROŚLINY INNE NIŻ WIELOLETNIE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11;ZBOŻA, ROŚLINY STRĄCZKOWE ORAZ NASIONA OLEISTE, Z WYŁĄCZENIEM RYŻU;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.1;PSZENICA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.11;Pszenica durum;;;Z;Zmodyfikowany;2025-04-13 00:56:23;Darek Osuch;2025-04-18 07:20:38;Darek Osuch;;
01.11.11.0;Pszenica durum;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.12;Pozostała pszenica;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.12.0;Pozostała pszenica;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.2;Kukurydza;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.20;Kukurydza;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.20.0;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.3;JĘCZMIEŃ, ŻYTO I OWIES;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.31;Jęczmień;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.31.0;Jęczmień;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.32;Żyto;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.32.0;Żyto;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.33;Owies;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.33.0;Owies;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.4;SORGO, PROSO I POZOSTAŁE ZBOŻA;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.41;Sorgo;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.41.0;Sorgo;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.42;Proso;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.42.0;Proso;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.43;Pszenżyto;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.43.0;Pszenżyto;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.49;Pozostałe zboża;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.49.0;Pozostałe zboża;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.5;Słoma i plewy zbóż;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.50;Słoma i plewy zbóż;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.50.0;Słoma i plewy zbóż;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.6;WARZYWA STRĄCZKOWE, ŚWIEŻE LUB SCHŁODZONE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.61;Fasola;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.61.0;Fasola;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.62;Groch;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.62.0;Groch;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
