IdProdukt_RodzajProdukt;IdCN;NazwaProdukt_RodzajProdukt_CN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.11_;0601 10 20;Pszenica durum ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.11.0_111;1001 11 00;Pszenica durum na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.11.0_111;1001 19 00;Pszenica durum na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.12.0_111;1001 91 10;Pozostała pszenica na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.12.0_111;1001 91 20;Pozostała pszenica na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.12.0_111;1001 91 90;Pozostała pszenica na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.12.0_111;1001 99 00;Pozostała pszenica na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.20.0_111;1005 10 13;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej) na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.20.0_111;1005 10 15;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej) na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.20.0_111;1005 10 18;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej) na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.20.0_111;1005 10 90;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej) na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.20.0_111;1005 90 00;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej) na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.31.0_111;1003 10 00;Jęczmień na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.31.0_111;1003 90 00;Jęczmień na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.32.0_111;1002 10 00;Żyto na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.32.0_111;1002 90 00;Żyto na ziarno;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.33.0_111;1004 10 00;Owies na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
