IdTabela;NazwaTabela;OpisTabela;UwagiTabela;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
CN;Produkty roślinne w CN;Tabela zawiera produkty roślinne na podstawie CN'2024.;;Z;Zmodyfikowany;2025-03-23 20:33:05;Darek Osuch;2025-03-23 20:34:10;Darek Osuch;;
Kolumna;Kolumny w tabelach;Tabela zawiera nazwy i opisy kolumn.;Tabela administracyjna.;Z;Zmodyfikowany;2025-04-18 07:28:28;Darek Osuch;2025-04-18 07:42:22;Darek Osuch;;
Produkt;Produkty roślinne w PKWiU;Tabela zawiera produkty roślinne na podstawie PKWiU'2015.;;Z;Zmodyfikowany;2025-02-01 15:31:04;Darek Osuch;2025-03-23 20:34:18;Darek Osuch;;
Produkt_RodzajProdukt;Tabela łącznikowa Produkt < RodzajProdukt.;Tabela łącznikowa jeden Produkt : wiele RodzajProdukt.;Tabela techniczna.;Z;Zmodyfikowany;2025-04-18 07:23:26;Darek Osuch;2025-04-18 07:35:14;Darek Osuch;;
Produkt_RodzajProdukt_CN;Tabela łącznikowa Uprawy+Produkty->CN;Tabela zawiera klucz przejścia pomiędzy produktem uzyskanym z uprawy na CN.;Tabela techniczna.;Z;Zmodyfikowany;2025-03-27 17:51:14;Darek Osuch;2025-04-18 07:35:32;Darek Osuch;;
RodzajProdukt;Rodzaje produktów;Tabela zawiera potencjalne rodzaje produktów z upraw na ziarno, owoce itd. I ich opisy.;;Z;Zmodyfikowany;2025-03-20 19:15:55;Darek Osuch;2025-04-18 08:03:20;Darek Osuch;;
RodzajUprawa;Rodzaje upraw;Tabela zawiera potencjalne rodzaje upraw na otwartym polu, pod osłonami itd. i ich opisy.;;Z;Zmodyfikowany;2025-03-27 17:51:10;Darek Osuch;2025-04-18 08:03:05;Darek Osuch;;
Status;Statusy wierszy;Tabela zawiera nazwy i opisy stausów.;Tabela administracyjna.;Z;Zmodyfikowany;2025-04-18 07:23:54;Darek Osuch;2025-04-18 07:40:42;Darek Osuch;;
Tabela;Tabele;Tabela zawiera nazwy i opisy tabel.;Tabela administracyjna.;Z;Zmodyfikowany;2025-04-18 07:28:31;Darek Osuch;2025-04-18 07:42:10;Darek Osuch;;
TypUprawa;Typy upraw;Tabiela zawiera potencjalne typy upraw plon górny, wsiewka itd. i ich opisy;;Z;Zmodyfikowany;2025-03-20 19:34:53;Darek Osuch;2025-04-18 08:03:53;Darek Osuch;;
Uprawa;Uprawy;Tabela zawiera nazwy, opisy, oznaczenia upraw.;"Możliwe połączenie relacyjne 1:1 z Produkty. Możliwe połączenie relacyjne 1:n z RodzajeProduktow; WykorzystanieProduktow; TypyUpraw.";Z;Zmodyfikowany;2025-02-01 15:30:52;Darek Osuch;2025-04-18 07:41:55;Darek Osuch;;
Uprawa_Produkt;Tabela łącznikowa Uprawa < Produkt.;Tabela łącznikowa jedna Uprawa : wiele Produkt.;Tabela techniczna.;Z;Zmodyfikowany;2025-04-18 07:24:15;Darek Osuch;2025-04-18 07:43:33;Darek Osuch;;
Uprawa_RodzajProdukt;Tabela łącznikowa Uprawa < RodzajProdukt.;Tabela łącznikowa jedna Uprawa : wiele RodzajProdukt.;Tabela techniczna.;Z;Zmodyfikowany;2025-04-18 07:24:34;Darek Osuch;2025-04-18 07:44:07;Darek Osuch;;
Uprawa_RodzajProdukt_Produkt;Tabela pośrednia Uprawy+RodajeProduktow->Produkty;Tabela zawiera klucz przejścia pomiędzy uprawą z określonym rodzajem produktu na Produkty. W przypadku rodzaju produktu 'słom lub plew' produkt=='słom'.;Tabela techniczna.;Z;Zmodyfikowany;2025-03-29 23:36:10;;2025-04-10 20:25:41;;;
Uprawa_RodzajUprawa;Tabela łącznikowa Uprawa < RodzajUprawa.;Tabela łącznikowa jedna Uprawa : wiele RodzajUprawa.;Tabela techniczna.;Z;Zmodyfikowany;2025-04-18 07:24:47;Darek Osuch;2025-04-18 07:48:55;Darek Osuch;;
Uprawa_TypUprawa;Tabela łącznikowa Uprawa < TypUprawa.;Tabela łącznikowa jedna Uprawa : wiele TypUprawa.;Tabela techniczna.;Z;Zmodyfikowany;2025-04-18 07:24:55;Darek Osuch;2025-04-18 07:49:18;Darek Osuch;;
Uprawa_WykorzystanieProdukt;Tabela łącznikowa Uprawa < WykorzystanieProdukt.;Tabela łącznikowa jedna Uprawa : wiele WykorzystanieProdukt.;Tabela techniczna.;Z;Zmodyfikowany;2025-04-18 07:25:09;Darek Osuch;2025-04-18 07:50:07;Darek Osuch;;
Uprawa_ZmianowanieWarzywo;Tabela łącznikowa Uprawa < ZmianowanieWarzywo.;Tabela łącznikowa jedna Uprawa : wiele ZmianowanieWarzywo.;Tabela techniczna.;Z;Zmodyfikowany;2025-04-18 07:26:05;Darek Osuch;2025-04-18 07:51:05;Darek Osuch;;
WykorzystanieProdukt;Potencjalne wykorzystanie produktów;Tabela zawiera potencjalne wykorzystanie produktów z uprawy na materiał siewny lub na paszę itd. i ich opisy;;Z;Zmodyfikowany;2025-03-20 19:33:30;Darek Osuch;2025-04-18 08:04:37;Darek Osuch;;
ZmianowanieWarzywo;Rodzaje zmianowania warzyw;Tabela zawiera potencjalne rodzaje zmianowania warzyw w z innymi warzywami lub z uprawami z innymi niż warzywa.;Oznaczenie tylko dla Warzywa=PRAWDA.;Z;Zmodyfikowany;2025-03-27 17:51:12;Darek Osuch;2025-04-18 07:52:41;Darek Osuch;;
