IdUprawa_RodzajUprawa;IdUprawa;IdRodzajUprawa;NazwaUprawa_RodzajUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.11.0_702;01.11.11.0;702;Pszenica durum pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:19;Darek Osuch;2025-04-13 00:55:40;Darek Osuch;;
01.11.12.0_703;01.11.12.0;703;Pozostała pszenica bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.20.0_703;01.11.20.0;703;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej) bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.31.0_703;01.11.31.0;703;Jęczmień bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.32.0_701;01.11.32.0;701;Żyto na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.33.0_703;01.11.33.0;703;Owies bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.41.0_703;01.11.41.0;703;Sorgo bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.42.0_702;01.11.42.0;702;Proso pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.43.0_701;01.11.43.0;701;Pszenżyto na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.49.0_703;01.11.49.0;703;Pozostałe zboża bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.50.0_703;01.11.50.0;703;Słoma i plewy zbóż bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.61.0_703;01.11.61.0;703;Fasola bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.62.0_702;01.11.62.0;702;Groch pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.69.0_701;01.11.69.0;701;Pozostałe warzywa strączkowe, świeże lub schłodzone na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
