IdUprawa_TypUprawa;IdUprawa;IdTypUprawa;NazwaUprawa_TypUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.11.0_504;01.11.11.0;504;Pszenica durum jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:19;Darek Osuch;2025-04-13 00:55:40;Darek Osuch;;
01.11.12.0_502;01.11.12.0;502;Pozostała pszenica jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.20.0_503;01.11.20.0;503;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej) jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.31.0_502;01.11.31.0;502;Jęczmień jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.32.0_503;01.11.32.0;503;Żyto jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.33.0_503;01.11.33.0;503;Owies jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.41.0_501;01.11.41.0;501;Sorgo w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.42.0_502;01.11.42.0;502;Proso jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.43.0_502;01.11.43.0;502;Pszenżyto jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.49.0_503;01.11.49.0;503;Pozostałe zboża jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.50.0_501;01.11.50.0;501;Słoma i plewy zbóż w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.61.0_502;01.11.61.0;502;Fasola jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.62.0_501;01.11.62.0;501;Groch w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.69.0_505;01.11.69.0;505;Pozostałe warzywa strączkowe, świeże lub schłodzone jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.71.0_503;01.11.71.0;503;Fasola, suszona jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.72.0_505;01.11.72.0;505;Bób i bobik, suszone jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.73.0_504;01.11.73.0;504;Ciecierzyca (cieciorka), suszona jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.74.0_502;01.11.74.0;502;Soczewica, suszona jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.75.0_504;01.11.75.0;504;Groch, suszony jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.76.0_503;01.11.76.0;503;Fasolnik chiński, suszony jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.77.0_502;01.11.77.0;502;Nikla indyjska, suszona jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.79.0_502;01.11.79.0;502;Warzywa strączkowe suszone, gdzie indziej niesklasyfikowane jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.81.0_503;01.11.81.0;503;Nasiona soi jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.82.0_504;01.11.82.0;504;Orzeszki ziemne w łupinach jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.91.0_504;01.11.91.0;504;Nasiona lnu jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.92.0_501;01.11.92.0;501;Nasiona gorczycy w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.93.0_505;01.11.93.0;505;Nasiona rzepaku i rzepiku jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.94.0_501;01.11.94.0;501;Nasiona sezamu w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.95.0_503;01.11.95.0;503;Nasiona słonecznika jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.96.0_505;01.11.96.0;505;Nasiona rącznika jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
