IdUprawa_ZmianowanieWarzywo;IdUprawa;IdZmianowanieWarzywo;NazwaUprawa_ZmianowanieWarzywo;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.11.0_902;01.11.11.0;902;Pszenica durum w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:19;Darek Osuch;2025-04-13 00:55:40;Darek Osuch;;
01.11.12.0_902;01.11.12.0;902;Pozostała pszenica w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.20.0_902;01.11.20.0;902;Kukurydza (z wyłączeniem kukurydzy cukrowej i pastewnej) w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.31.0_901;01.11.31.0;901;Jęczmień w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.32.0_901;01.11.32.0;901;Żyto w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.33.0_901;01.11.33.0;901;Owies w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.41.0_902;01.11.41.0;902;Sorgo w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.42.0_902;01.11.42.0;902;Proso w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.43.0_902;01.11.43.0;902;Pszenżyto w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.49.0_901;01.11.49.0;901;Pozostałe zboża w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.50.0_901;01.11.50.0;901;Słoma i plewy zbóż w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.61.0_902;01.11.61.0;902;"Fasola w zmianowaniu z uprawami innymi niż warzywa";Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.62.0_901;01.11.62.0;901;Groch w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
